age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
49, ?,261059, 10th, Separated, ?, Own-child, White, Male,2176,0,40, United-States, <=50K
37, Private,538443, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,14344,0,40, United-States, >50K
31, Local-gov,102130, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
51, Private,270194, 9th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
48, Private,345006, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, Mexico, <=50K
39, Local-gov,267893, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Black, Male,7298,0,40, United-States, >50K
33, ?,202366, HS-grad, Divorced, ?, Unmarried, White, Female,0,0,32, United-States, <=50K
40, Private,229148, 12th, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Jamaica, <=50K
46, Private,148738, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1740,35, United-States, <=50K
36, Private,74791, Bachelors, Married-civ-spouse, Sales, Wife, White, Male,0,0,60, ?, <=50K
41, ?,252127, Some-college, Widowed, ?, Unmarried, Black, Female,0,0,20, United-States, <=50K
27, Private,162343, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
30, Private,209103, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
27, Local-gov,247507, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States, <=50K
42, Private,173938, HS-grad, Separated, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
41, Private,116797, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7298,0,50, United-States, >50K
31, Private,223046, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
20, Federal-gov,410446, HS-grad, Never-married, Adm-clerical, Other-relative, White, Male,0,0,20, United-States, <=50K
24, Private,233419, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private,176178, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
35, Private,208378, 12th, Separated, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private,176321, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private,170331, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
41, Private,180138, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Iran, >50K
19, Private,236879, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,35, United-States, <=50K
31, Self-emp-not-inc,281030, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
21, Private,230429, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
22, Private,166371, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private,173350, Assoc-voc, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private,225053, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, <=50K
42, Self-emp-not-inc,67065, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
43, State-gov,506329, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,15024,0,40, ?, >50K
28, Private,405793, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
23, Private,179413, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
32, Private,236770, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
42, Private,210534, 5th-6th, Separated, Adm-clerical, Other-relative, White, Male,0,0,40, El-Salvador, <=50K
51, Self-emp-inc,258735, HS-grad, Divorced, Protective-serv, Not-in-family, White, Male,0,0,81, United-States, <=50K
38, Federal-gov,248919, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2051,40, United-States, <=50K
55, ?,270228, Assoc-acdm, Married-civ-spouse, ?, Husband, Black, Male,7688,0,40, United-States, >50K
55, ?,102058, 12th, Widowed, ?, Not-in-family, White, Male,0,0,30, United-States, <=50K
22, Private,172766, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
35, Private,117381, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,8614,0,45, United-States, >50K
41, Local-gov,81054, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,25, United-States, <=50K
18, ?,284450, 11th, Never-married, ?, Own-child, White, Male,0,0,25, United-States, <=50K
33, Private,104509, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Private,186539, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
51, Private,189511, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, Germany, >50K
41, Private,126850, Prof-school, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
30, Private,144593, HS-grad, Never-married, Other-service, Not-in-family, Black, Male,0,0,40, ?, <=50K
55, Private,143266, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,25, United-States, <=50K
30, Private,232356, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
66, State-gov,132055, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1825,40, United-States, >50K
49, Self-emp-not-inc,233059, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
42, Private,85995, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
28, Private,199998, HS-grad, Separated, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
39, Private,120074, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private,153976, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,52, United-States, >50K
21, ?,80680, HS-grad, Never-married, ?, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Self-emp-inc,187563, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
54, Self-emp-inc,119570, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
45, Private,112761, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
37, Private,173968, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
39, Private,202683, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
40, Private,200496, Bachelors, Separated, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Private,126978, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0,0,40, China, <=50K
39, Private,53447, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Local-gov,375655, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private,201022, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,50, United-States, >50K
21, Private,256240, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
46, Self-emp-inc,276934, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, >50K
33, Private,55291, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
22, Private,291979, 11th, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Self-emp-inc,201080, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,55, United-States, <=50K
20, ?,34862, Some-college, Never-married, ?, Own-child, Amer-Indian-Eskimo, Male,0,0,72, United-States, <=50K
55, ?,193895, HS-grad, Divorced, ?, Not-in-family, White, Female,0,0,40, England, <=50K
52, Private,380633, 5th-6th, Widowed, Other-service, Unmarried, White, Female,0,0,40, Mexico, <=50K
54, Private,378747, 10th, Separated, Transport-moving, Unmarried, Black, Male,0,0,45, United-States, >50K
37, Self-emp-not-inc,410919, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
53, ?,251804, 5th-6th, Widowed, ?, Unmarried, Black, Female,0,0,30, United-States, <=50K
22, Private,370548, Assoc-voc, Never-married, Craft-repair, Not-in-family, White, Male,0,0,30, United-States, <=50K
36, Federal-gov,186934, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1848,55, United-States, >50K
29, Private,105598, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,58, United-States, <=50K
36, Private,188834, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
20, ?,173945, 11th, Married-civ-spouse, ?, Other-relative, White, Female,0,0,39, United-States, <=50K
52, Private,145081, 7th-8th, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, <=50K
43, Private,39581, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,45, United-States, <=50K
44, Private,111502, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, <=50K
36, Private,179468, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private,178815, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,8614,0,40, United-States, >50K
27, Private,128730, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,10520,0,65, Greece, >50K
30, Private,202051, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, >50K
20, Private,197997, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
63, Private,254907, Assoc-voc, Divorced, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
23, ?,146399, Bachelors, Never-married, ?, Not-in-family, White, Male,0,0,55, United-States, <=50K
45, Private,246431, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,30, United-States, <=50K
21, Private,257781, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,1719,30, United-States, <=50K
43, Private,227065, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,4650,0,40, United-States, <=50K
20, Private,39927, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,8, United-States, <=50K
28, ?,168524, Assoc-voc, Married-civ-spouse, ?, Own-child, White, Female,0,0,40, United-States, <=50K
43, Federal-gov,233851, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
44, Private,120277, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,38, United-States, >50K
43, Private,248094, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
48, Self-emp-not-inc,218835, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, England, <=50K
19, Private,158118, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,1719,40, United-States, <=50K
45, Private,166636, HS-grad, Divorced, Other-service, Other-relative, Black, Female,0,0,35, United-States, <=50K
39, Private,176296, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,60, United-States, <=50K
31, Self-emp-not-inc,349148, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,48, United-States, <=50K
70, Private,89787, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,20, United-States, <=50K
43, Private,227065, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,43, United-States, >50K
62, ?,129246, HS-grad, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
56, Private,367984, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
37, Private,218490, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, El-Salvador, >50K
41, Private,264663, Some-college, Separated, Prof-specialty, Own-child, White, Female,0,3900,40, United-States, <=50K
