gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
Male,Rural,High School,5L-10L,1,5,0,1,B,Gold,50076
Male,Urban,High School,5L-10L,1,4,0,1,A,Gold,31056
Male,Rural,High School,More than 10L,0,2,0,1,B,Platinum,37236
Female,Urban,High School,2L-5L,0,6,9062,More than 1,A,Platinum,67512
Male,Rural,High School,5L-10L,0,2,2708,More than 1,C,Gold,119772
Male,Urban,Others,2L-5L,1,3,5192,More than 1,B,Silver,56184
Male,Urban,Bachelor,5L-10L,1,0,5523,More than 1,A,Platinum,205332
Female,Urban,Bachelor,5L-10L,1,6,6193,1,C,Platinum,55980
Male,Urban,Bachelor,More than 10L,0,7,9914,More than 1,C,Platinum,73212
Female,Urban,High School,2L-5L,0,6,3050,More than 1,A,Gold,425196
Female,Urban,High School,5L-10L,1,7,7504,More than 1,A,Gold,104232
Male,Urban,Bachelor,More than 10L,1,8,6064,1,A,Gold,32364
Male,Urban,High School,More than 10L,0,6,3832,More than 1,B,Platinum,105576
Male,Urban,High School,5L-10L,0,5,8860,More than 1,A,Platinum,93552
Male,Rural,Bachelor,More than 10L,0,8,0,More than 1,B,Platinum,99324
Male,Rural,High School,5L-10L,0,3,0,1,A,Platinum,28776
Female,Urban,High School,2L-5L,0,1,18295,More than 1,A,Silver,95616
Female,Urban,Bachelor,2L-5L,1,8,2412,1,A,Platinum,61320
Male,Urban,Bachelor,2L-5L,0,7,5988,More than 1,B,Gold,74076
Female,Urban,High School,More than 10L,1,6,0,1,A,Gold,51948
Male,Urban,Bachelor,5L-10L,1,8,6159,1,A,Platinum,46860
Male,Urban,Bachelor,5L-10L,1,5,10704,More than 1,B,Gold,58488
Female,Urban,Bachelor,5L-10L,1,6,4403,More than 1,A,Silver,69360
Female,Rural,High School,2L-5L,1,1,0,More than 1,B,Gold,80508
Female,Rural,High School,5L-10L,1,3,0,More than 1,B,Platinum,61476
Male,Urban,Bachelor,5L-10L,1,3,2713,1,B,Silver,32460
Male,Urban,High School,5L-10L,1,7,4386,More than 1,B,Platinum,62340
Male,Urban,High School,2L-5L,1,8,0,1,B,Platinum,33096
Female,Urban,Bachelor,<=2L,1,8,8123,More than 1,C,Platinum,63168
Male,Urban,Bachelor,5L-10L,1,2,5953,More than 1,A,Silver,59304
Male,Urban,High School,More than 10L,0,6,4079,1,C,Gold,57636
Female,Urban,High School,5L-10L,1,4,3708,More than 1,A,Platinum,101568
Male,Urban,Bachelor,5L-10L,1,7,0,1,B,Gold,30324
Male,Urban,Bachelor,5L-10L,1,7,0,1,B,Silver,57492
Male,Urban,High School,5L-10L,0,4,3975,More than 1,A,Gold,99624
Male,Urban,Bachelor,2L-5L,1,6,5054,More than 1,A,Platinum,263604
Female,Urban,High School,5L-10L,0,6,5921,1,B,Platinum,37080
Male,Urban,High School,5L-10L,1,8,7678,More than 1,A,Silver,270012
Male,Rural,Bachelor,5L-10L,0,7,4262,More than 1,A,Gold,140220
Female,Urban,Others,5L-10L,1,2,2025,More than 1,A,Gold,62784
Male,Urban,High School,5L-10L,0,1,7643,More than 1,A,Gold,92736
Male,Urban,High School,2L-5L,0,1,11077,More than 1,A,Gold,533124
Female,Urban,Bachelor,2L-5L,1,4,0,1,A,Silver,34908
Male,Urban,High School,5L-10L,1,5,6817,More than 1,A,Platinum,105372
Female,Rural,Others,More than 10L,1,6,0,1,A,Platinum,47868
Male,Urban,Bachelor,2L-5L,1,7,6223,More than 1,C,Platinum,105600
Female,Rural,High School,5L-10L,1,6,0,1,B,Platinum,39288
Male,Rural,Bachelor,More than 10L,0,8,3105,1,B,Platinum,51480
Female,Rural,High School,More than 10L,0,7,2144,More than 1,A,Gold,65136
Male,Urban,High School,5L-10L,1,5,6538,1,A,Platinum,34452
Male,Rural,Bachelor,5L-10L,1,0,3863,More than 1,A,Silver,103740
Female,Urban,Bachelor,5L-10L,0,2,4549,More than 1,A,Gold,56676
Female,Rural,High School,2L-5L,0,2,5258,More than 1,B,Platinum,61296
Female,Urban,High School,More than 10L,1,1,2156,More than 1,A,Gold,152424
Male,Urban,High School,2L-5L,0,2,5480,More than 1,C,Silver,305892
Male,Urban,Bachelor,5L-10L,0,1,5884,1,A,Platinum,43464
Male,Urban,High School,2L-5L,1,5,3697,More than 1,A,Gold,331584
Male,Rural,High School,5L-10L,0,4,0,1,A,Platinum,30492
Male,Rural,Bachelor,5L-10L,1,4,6185,More than 1,B,Silver,66672
Female,Rural,Bachelor,2L-5L,1,1,0,1,B,Silver,44376
Female,Urban,High School,More than 10L,0,7,5871,1,A,Silver,35772
Male,Rural,High School,2L-5L,1,8,2087,More than 1,A,Silver,104520
Female,Urban,High School,2L-5L,1,5,5467,More than 1,A,Platinum,61140
Male,Urban,High School,5L-10L,0,5,3502,1,C,Platinum,58512
Female,Urban,Others,2L-5L,0,7,5848,1,B,Platinum,31164
Female,Urban,High School,More than 10L,0,0,10001,More than 1,A,Platinum,68340
Male,Urban,Bachelor,2L-5L,0,5,3789,More than 1,A,Silver,42912
Male,Rural,High School,5L-10L,1,5,2241,1,A,Gold,35976
Male,Urban,Bachelor,2L-5L,1,8,0,More than 1,B,Silver,73524
Male,Rural,Bachelor,More than 10L,0,2,5279,1,A,Platinum,69984
Male,Urban,Bachelor,5L-10L,1,6,4262,More than 1,A,Gold,64260
Female,Urban,High School,<=2L,0,2,3936,More than 1,A,Silver,61188
Female,Rural,High School,5L-10L,0,4,2047,1,A,Platinum,69516
Male,Urban,High School,2L-5L,0,3,7578,More than 1,A,Platinum,145452
Male,Rural,High School,5L-10L,1,6,3305,More than 1,A,Gold,110676
Male,Rural,High School,5L-10L,1,6,2030,More than 1,C,Silver,185148
Female,Urban,High School,2L-5L,1,5,3819,1,B,Platinum,60456
Male,Urban,Bachelor,More than 10L,1,7,5269,More than 1,A,Gold,68268
Male,Urban,High School,More than 10L,0,0,2090,1,B,Silver,36252
Male,Urban,High School,2L-5L,1,2,5742,1,A,Platinum,43512
Female,Rural,Bachelor,More than 10L,1,5,0,More than 1,B,Gold,72996
Male,Urban,Bachelor,5L-10L,1,6,4525,More than 1,C,Silver,122064
Male,Urban,Bachelor,5L-10L,1,0,4107,More than 1,A,Platinum,109380
Female,Urban,High School,5L-10L,1,1,15737,1,A,Gold,46344
Male,Rural,Bachelor,5L-10L,0,5,0,More than 1,B,Platinum,68064
Male,Urban,High School,5L-10L,1,7,4117,More than 1,A,Platinum,60900
Male,Urban,High School,5L-10L,0,6,6552,More than 1,A,Gold,64560
Male,Rural,High School,5L-10L,0,1,0,More than 1,B,Silver,95136
Female,Urban,Bachelor,5L-10L,0,7,3254,More than 1,A,Gold,95112
Female,Urban,High School,5L-10L,0,2,5547,1,A,Platinum,30588
Female,Urban,High School,5L-10L,1,4,0,1,B,Silver,169044
Male,Rural,High School,2L-5L,1,5,5667,More than 1,A,Gold,132216
Female,Urban,High School,5L-10L,1,6,6011,1,A,Platinum,54204
Female,Rural,High School,5L-10L,0,7,3607,1,A,Gold,271224
Female,Urban,Bachelor,More than 10L,1,1,4007,More than 1,A,Gold,88116
Male,Urban,Bachelor,2L-5L,0,1,8325,More than 1,A,Platinum,389472
Male,Urban,Bachelor,5L-10L,1,2,5296,More than 1,A,Platinum,117840
