gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
Male,Rural,High School,5L-10L,0,7,2408,More than 1,B,Gold,100728
Female,Urban,Bachelor,2L-5L,1,7,6136,More than 1,A,Platinum,145080
Male,Urban,Bachelor,5L-10L,1,6,4023,1,A,Platinum,36084
Female,Urban,Bachelor,More than 10L,0,6,4861,1,B,Platinum,46296
Male,Urban,Bachelor,5L-10L,1,7,3347,More than 1,B,Silver,58668
Male,Rural,Bachelor,5L-10L,0,5,6358,1,A,Silver,65952
Male,Urban,Bachelor,5L-10L,1,3,6136,More than 1,C,Silver,172908
Female,Urban,Bachelor,5L-10L,0,4,4712,More than 1,A,Silver,70740
Male,Urban,Bachelor,More than 10L,1,2,7246,More than 1,A,Platinum,68472
Female,Urban,Bachelor,2L-5L,1,1,5589,More than 1,C,Silver,212748
Female,Rural,Bachelor,5L-10L,1,7,4287,1,B,Platinum,104832
Male,Rural,Bachelor,2L-5L,1,0,2460,More than 1,B,Gold,65592
Female,Rural,Bachelor,More than 10L,1,7,0,1,B,Gold,65820
Male,Urban,High School,2L-5L,1,7,6738,1,C,Gold,46572
Male,Urban,High School,5L-10L,0,5,4394,More than 1,A,Silver,62364
Male,Urban,High School,2L-5L,0,8,10912,More than 1,C,Silver,341076
Male,Rural,Bachelor,5L-10L,0,0,4046,More than 1,C,Platinum,102096
Male,Urban,Bachelor,5L-10L,0,8,0,More than 1,B,Platinum,124356
Male,Urban,Bachelor,<=2L,1,1,8275,More than 1,A,Gold,42168
Male,Urban,High School,More than 10L,1,6,3713,More than 1,A,Platinum,101028
Female,Urban,High School,2L-5L,1,3,9052,More than 1,A,Platinum,77940
Male,Urban,High School,5L-10L,1,8,2612,More than 1,A,Platinum,67188
Male,Urban,Bachelor,5L-10L,1,6,4407,1,A,Platinum,58824
Male,Urban,High School,5L-10L,0,7,4181,More than 1,B,Platinum,106464
Female,Rural,Bachelor,5L-10L,1,3,0,1,B,Silver,66312
Male,Rural,Bachelor,5L-10L,1,7,0,More than 1,B,Silver,73752
Female,Rural,Bachelor,5L-10L,1,0,2571,More than 1,B,Platinum,62700
Female,Rural,High School,5L-10L,1,5,2256,More than 1,B,Platinum,414504
Male,Urban,High School,5L-10L,0,2,11385,More than 1,A,Silver,109500
Female,Urban,High School,5L-10L,1,1,0,1,B,Silver,55320
Male,Urban,High School,5L-10L,1,0,4025,1,A,Platinum,36660
Male,Urban,Bachelor,More than 10L,1,7,6751,More than 1,B,Platinum,146196
Female,Rural,High School,5L-10L,1,6,0,1,A,Platinum,36084
Male,Rural,High School,5L-10L,1,8,3836,More than 1,B,Platinum,62844
Female,Urban,Bachelor,5L-10L,1,6,0,1,C,Platinum,33348
Male,Urban,Bachelor,5L-10L,1,5,6395,1,C,Gold,30144
Female,Urban,Bachelor,5L-10L,1,3,5244,More than 1,A,Platinum,66684
Male,Urban,High School,5L-10L,1,7,4309,1,A,Platinum,32496
Male,Urban,Bachelor,2L-5L,0,6,6527,More than 1,C,Platinum,455856
Male,Urban,Bachelor,5L-10L,1,7,10912,More than 1,A,Platinum,203772
Male,Urban,High School,<=2L,1,5,5148,More than 1,A,Platinum,64452
Male,Rural,Bachelor,5L-10L,1,8,4503,More than 1,B,Platinum,74712
Male,Urban,High School,2L-5L,1,2,6095,More than 1,A,Silver,45312
Female,Urban,Bachelor,5L-10L,0,3,7544,More than 1,A,Gold,92568
Male,Urban,High School,5L-10L,1,8,4160,More than 1,A,Gold,69084
Female,Rural,High School,2L-5L,0,6,0,1,B,Gold,36756
Female,Urban,High School,More than 10L,0,7,12725,More than 1,A,Platinum,73224
Female,Urban,Bachelor,2L-5L,1,1,6848,More than 1,A,Platinum,65040
Female,Rural,Bachelor,More than 10L,1,6,2357,More than 1,A,Platinum,69996
Male,Urban,High School,5L-10L,1,1,3456,1,A,Silver,36648
Female,Urban,High School,2L-5L,1,7,4874,More than 1,A,Platinum,108732
Male,Urban,Bachelor,2L-5L,0,8,6715,More than 1,A,Silver,238728
Male,Rural,Bachelor,5L-10L,1,2,5255,1,A,Platinum,65544
Female,Urban,High School,5L-10L,1,6,5325,More than 1,B,Platinum,98052
Female,Urban,High School,5L-10L,1,7,2386,1,B,Platinum,58920
Female,Urban,High School,5L-10L,1,6,6663,More than 1,B,Gold,245172
Male,Urban,Bachelor,5L-10L,1,6,4431,More than 1,A,Platinum,116244
Male,Urban,High School,5L-10L,0,8,6052,More than 1,A,Platinum,114456
Female,Urban,Bachelor,5L-10L,1,8,2180,1,A,Silver,60732
Male,Urban,Others,5L-10L,0,8,5582,More than 1,C,Platinum,64752
Male,Urban,High School,More than 10L,1,8,4002,1,B,Gold,35412
Female,Rural,High School,5L-10L,1,6,2706,More than 1,A,Platinum,63804
Female,Urban,High School,More than 10L,0,4,5867,1,A,Gold,29976
Male,Urban,High School,5L-10L,0,6,0,1,B,Platinum,53616
Male,Rural,Bachelor,More than 10L,1,6,2870,1,B,Platinum,30828
Male,Urban,Bachelor,More than 10L,0,1,2105,More than 1,A,Platinum,340668
Female,Rural,High School,5L-10L,1,0,3728,More than 1,B,Gold,50292
Male,Rural,High School,More than 10L,0,7,2436,More than 1,B,Gold,63552
Male,Urban,High School,5L-10L,0,5,7367,More than 1,A,Platinum,64152
Male,Rural,High School,5L-10L,1,0,0,More than 1,A,Silver,89304
Female,Urban,High School,5L-10L,0,7,4028,More than 1,C,Silver,72900
Female,Urban,Bachelor,More than 10L,1,4,0,1,B,Platinum,59412
Female,Urban,High School,5L-10L,0,5,7879,More than 1,A,Platinum,98268
